date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,surface_pressure_mean,et0_fao_evapotranspiration_sum,std_avg_temperature,sunrise,sunset,peninsular_max_temp,peninsular_min_temp,is_national_holiday
2020-01-01,3.3739046155009214,6.535540980176386,12.122851799918589,2.473909248861641,4.048853344137941,9.113214199675886,17.92925538602191,8.99545722066752,0.0020956853072775857,0.0020956853072775857,0.0,0.020956853072775856,954.6510150214627,1.2039647686283577,4.271008534106368,1577864282,1577897875,16.05,-3.95,1
2020-01-02,3.544994812256568,6.054611756191556,11.02536392853754,2.240265295380111,3.3538922053766647,9.88977401351879,20.888576326841132,8.473974865215261,0.002665061898211807,0.002665061898211807,0.0,0.02665061898211807,953.8919088410094,1.1616279863598833,4.290234565341964,1577950689,1577984326,15.1,-4.1184998,0
2020-01-03,10.19381260050597,6.174447611220902,10.575464833836344,2.901268247636913,3.5159914874457527,11.881112647073472,23.9152950819173,6.650876515834243,0.29760764533885853,0.29760764533885853,0.0,1.0266446900346216,955.5288948628041,0.9361826569208209,4.273691683915222,1578037094,1578070778,15.15,-1.841,0
2020-01-04,7.6947268699340405,6.5253132105064,11.145724686271166,3.126518123222706,3.779528645965393,13.375087320767129,28.558504481557023,7.511186540498666,0.08028802713489493,0.08028802713489493,0.0,0.4711912441303394,956.7073190850052,0.9400795549338726,3.7476415751998524,1578123497,1578157232,14.65,-1.45,0
2020-01-05,3.050183400413815,6.535853385037646,12.627845090592569,2.3178122903426597,3.727290078436652,11.201826966012508,23.020813026354173,9.135439038561875,0.010137315145891652,0.010137315145891652,0.0,0.08674643077360922,953.1000047486916,1.183950452704865,3.866586773134154,1578209897,1578243688,15.75,-2.4,0
2020-01-06,3.4879383464075704,6.0957412648290035,11.762174654415645,1.8254528682847027,3.3285812192713724,10.349302176559908,20.58744435755308,9.012063866622398,0.011004521810621497,0.011004521810621497,0.0,0.061767774984584675,952.5450865958948,1.1884183248802156,4.105454184285609,1578296296,1578330145,14.632999,-3.5,1
2020-01-07,3.2523617295344085,6.360175372753607,12.698951641805925,1.8916529813712457,3.531835197910412,10.392560514705174,20.379827870803293,9.28565238185584,0.0016071400338345243,0.0016071400338345243,0.0,0.00803570016917262,954.1864219400306,1.2636338591098277,4.222826959108655,1578382692,1578416603,16.133,-3.45,0
2020-01-08,6.741488291360881,7.609489910762626,13.269664964714735,3.08587028419084,4.930489173089334,11.062905317241578,21.503215172700358,8.814629697702731,0.015974561750976227,0.015974561750976227,0.0,0.14197852930481059,952.9796233738873,1.2484578197292053,3.733248374512907,1578469086,1578503061,16.683,-2.7,0
2020-01-09,15.472633602585462,7.358435961653008,12.335569287613993,3.4463916287271936,4.749666321835709,14.404712806885088,31.115478349983785,8.075289629085045,0.47932436827281766,0.47932436827281766,0.0,1.762421144998337,950.6865355239806,1.0721173010518348,3.409876410478517,1578555478,1578589521,15.9,-1.55,0
2020-01-10,29.857639213506634,7.271152052404486,11.04545718425984,3.569131620280222,4.136620685753088,18.72895463912078,40.22893031661766,7.375690267830324,0.6941139652144683,0.6765524212760265,0.012293080317870655,2.590675346645793,951.958605347041,1.1372915470190639,3.733549447920479,1578641867,1578675982,14.184,-1.55,0
2020-01-11,5.299644194872054,5.863854353983242,11.23511476635495,1.7218320991006426,2.684507594950755,12.991097010155892,27.519878051108517,9.64271842242565,0.004383863776502381,0.004383863776502381,0.0,0.043350487754746966,954.0596366530696,1.272676506609314,4.237949633346214,1578728254,1578762443,14.934,-3.95,0
2020-01-12,3.7651032357176946,5.027867572610057,11.1424284422043,0.626168716899534,1.9214749603498142,10.294467667238415,21.076852168808003,9.679778988600612,0.029906207194283684,0.029906207194283684,0.0,0.12618183686698595,953.4343115459533,1.2412470315563884,4.302606673139546,1578814639,1578848905,15.233999,-4.65,0
2020-01-13,5.002773778215839,4.793253278955621,10.291967897659328,0.6578017086520247,1.3832367564616352,12.814329894364334,27.17659594278169,8.574106606428561,0.08573850969975787,0.08573850969975787,0.0,0.2438971367136232,948.556285778787,1.201421060517004,4.459629440096645,1578901021,1578935367,14.632999,-4.35,0
2020-01-14,8.973257204498648,6.091605088790295,11.268211224680853,2.0535487053776222,2.598599230972866,16.132578122471894,34.46224545719299,8.373644879760946,0.35899030785071595,0.35899030785071595,0.0,1.203673180603644,945.4706913077678,1.2480691621429585,4.185348721447149,1578987401,1579021829,14.55,-4.2,0
2020-01-15,13.35702760061068,7.670421202598993,12.203844853686217,4.117167504825766,4.732665180291185,17.646010405451072,38.15314996207449,7.139862468181315,1.5334194847375822,1.5334194847375822,0.0,2.1969418488829864,947.7567407070862,1.134954536699177,3.537175670092587,1579073778,1579108293,15.95,-1.7,0
2020-01-16,11.933759010616601,8.944194925165943,14.049295667246364,5.096070385119406,6.116435843111685,17.85841457679469,39.157523654789,8.66332449920157,1.7045164769976568,1.7045164769976568,0.0,2.124005913136965,949.9731303021787,1.4320140988553376,3.0554345922429595,1579160153,1579194758,16.8,0.8,0
2020-01-17,22.459013020540866,8.761085721022459,12.987654519413368,4.984149728550719,5.762099578734217,18.71393897429011,41.89063041637615,8.01829301649038,1.0486047195553467,1.0457801689695667,0.001977185410046012,2.657455058577999,953.4071977164856,1.281261079620982,3.4995572282692313,1579246526,1579281225,16.9,-0.75,0
2020-01-18,43.231040168153974,8.110054682976026,11.862292977056054,4.933153341058827,5.517544599910558,20.62879840982466,46.401599469491615,4.360563230248699,5.000717122091061,4.934190399121132,0.0465687204540783,8.96134326234407,950.3500369222636,0.7782810514919207,3.7301724466540986,1579332897,1579367693,15.333,-1.2,0
2020-01-19,52.069588143875606,6.721059281966773,9.86960015453422,4.196214454298934,2.120889169137418,30.3285589979644,64.8907202980304,6.847284838495471,5.816857855302923,4.6039301923876215,0.8490493331019064,7.608420686493064,947.0914025985588,1.3162550001893512,4.23642272048112,1579419265,1579454162,13.283,-3.276,0
2020-01-20,53.40892701817043,4.692662573328859,6.804538438325668,2.8547228943887752,-1.0041506846643173,29.266569869056234,65.11780684461414,6.1417004814305365,5.6213555970495515,2.875999637407108,1.9217492110157854,7.065388385587121,947.6358672966767,1.4343068937637555,4.536184227542507,1579505631,1579540632,11.05,-5.126,0
2020-01-21,54.01496723975594,6.202878189527295,8.743318401554884,3.9858218880205407,1.7491708607800183,25.653180024886762,59.594006387413245,5.493018012142485,11.951279669588446,9.269322611648795,1.8807108913783435,10.297781387848028,944.3913092572017,1.0222167321674258,4.1256235416164,1579591996,1579627103,12.8,-3.0759997,0
2020-01-22,54.860171501568644,7.380894700346025,10.515109478053668,5.064643165544736,4.523630908058402,18.12810038930122,41.719862140081275,6.067518162342487,6.744246723711123,6.608450121862004,0.09505763454560537,8.54031684295404,943.2923516269427,0.8638860482423043,3.501546035467725,1579678358,1579713574,12.05,-0.55,0
2020-01-23,40.4846501599679,7.429500913608879,11.13791435002237,4.182928072512504,4.934390488398123,14.27820800710446,33.3791636339626,7.158153350250596,5.125893669751005,5.095474218069951,0.02129361729039196,6.110853531281128,943.0318084279,0.930044952715952,3.649919612978554,1579764718,1579800046,12.95,-2.041,0
2020-01-24,37.12690545735789,7.694447535141002,11.435474279559163,4.975483351756074,5.492158586742933,12.805916373486143,28.80238426589353,6.767037423516577,3.703524996849696,3.7019340610147418,0.0011136539708137651,7.294123227244704,944.4361763781047,0.9136188763423532,3.483690717802399,1579851076,1579886519,12.9675,-0.3,0
2020-01-25,51.80300487517407,7.665025671992661,10.657638472739064,5.221591405788985,5.689622496246989,12.033786548582784,27.71834033109812,5.455459177220192,5.05203699159058,5.0093689302419815,0.0298676461287925,10.662196240256767,942.6197547255688,0.7410096846607258,3.461386398270427,1579937433,1579972992,12.7,-1.041,0
2020-01-26,27.77708559692186,7.534870483116385,12.009008561379833,4.0849865278457385,4.931587754504024,14.369055139225916,31.0188901954517,8.4022662413635,0.5920543965203005,0.5920543965203005,0.0,1.8669623235149955,946.5173373768163,1.1409297333238273,3.514395855295325,1580023788,1580059465,14.6,-1.5,0
2020-01-27,22.337658661361687,7.66784402885054,11.26963962444934,3.8743543754768552,4.482452965675252,20.230445780646733,43.66492554625171,6.974030360163797,1.963709607988659,1.9577273009650298,0.004187615813886362,3.36946038672548,946.7614455323602,1.0962052188784603,3.290396674415929,1580110141,1580145939,14.7,-1.0259999,0
2020-01-28,21.948954611636513,10.101674230940587,14.091951169854099,7.017074542552094,7.478402574990337,19.17913899909287,41.18032434022277,6.532139776913469,1.3201586346153693,1.3201586346153693,0.0,5.416552040348466,946.8559923604325,1.0613403460459847,2.74625168145908,1580196492,1580232412,17.1945,1.8590002,0
2020-01-29,18.327894431186945,10.597220599332267,14.621154781785538,7.449182548662142,8.419258459759213,15.934155920847363,34.473077877347855,6.753607270470679,2.4661065880498056,2.4661065880498056,0.0,4.7922101535202115,947.7426439787981,1.0924503343322423,2.7927766208514746,1580282842,1580318886,16.95,1.6,0
2020-01-30,32.47813623582351,10.828915929621486,14.644387438236961,8.100995388905813,8.499668702951132,17.200876327845105,38.111421110784356,7.498013150405539,1.4517996491694298,1.4517996491694298,0.0,4.280830526964851,947.8090067913524,1.2481218831741407,2.9231486654482484,1580369190,1580405360,17.7,3.25,0
2020-01-31,24.514627588251198,11.707169981176834,16.164403455897883,8.562546744694584,9.76634827695068,15.435333403195306,33.92216209186706,7.507358377207543,1.5710733208090226,1.5710733208090226,0.0,3.8878816265869824,948.2691238739941,1.245427353249715,2.7023394095222315,1580455537,1580491833,18.65,4.3589997,0
2020-02-01,27.88439216608706,12.88510770428948,17.453634434597806,9.507844710299812,11.23641381178161,18.047340400682224,39.11512537223711,7.911358183528593,1.2289054164089532,1.2289054164089532,0.0,4.810896219703077,949.5387223819151,1.315791061737142,2.3551420993769345,1580541882,1580578306,19.744501,4.9,0
2020-02-02,5.819384763123368,12.806836193340013,18.090427885979015,9.012633326505561,11.140605112098378,14.349777713893696,30.302238298058064,10.719068641401446,0.0418233894004252,0.0418233894004252,0.0,0.277490553210327,953.1235615592736,1.7289973700833212,2.781166043656677,1580628226,1580664778,20.944,4.0,0
2020-02-03,2.489895528029396,13.359941257899496,19.828186021190398,8.825619323207468,11.584147511426472,12.731013979370028,26.750463415097467,12.135404038008506,0.0,0.0,0.0,0.0,953.6832868197719,2.0305652080878747,3.0416340785088014,1580714568,1580751250,22.9,3.1,0
