date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,surface_pressure_mean,et0_fao_evapotranspiration_sum,sunrise,sunset,peninsular_max_temperature,peninsular_min_temperature,max_windspeed,daily_temperature_range,rolling_avg_temp,delta_temp_with_previous,std_avg_temperature,Day_of_the_week,Is_weekend,Month,Year,Season,Is_national_holiday
2020-01-01,3.3739046155009214,6.535540980176386,12.122851799918589,2.473909248861641,4.048853344137941,9.113214199675886,17.92925538602191,8.99545722066752,0.0020956853072775857,0.0020956853072775857,0.0,0.020956853072775856,954.6510150214627,1.2039647686283577,1577864282,1577897875,16.05,-3.95,29.947151,9.648942551056948,6.535540980176386,0.0,4.271008534106368,3,0,1,0,1,1
2020-01-02,3.544994812256568,6.054611756191556,11.02536392853754,2.240265295380111,3.3538922053766647,9.88977401351879,20.888576326841132,8.473974865215261,0.002665061898211807,0.002665061898211807,0.0,0.02665061898211807,953.8919088410094,1.1616279863598833,1577950689,1577984326,15.1,-4.1184998,31.222609,8.78509863315743,6.054611756191556,0.0,4.290234565341964,4,0,1,0,1,0
2020-01-03,10.19381260050597,6.174447611220902,10.575464833836344,2.901268247636913,3.5159914874457527,11.881112647073472,23.9152950819173,6.650876515834243,0.29760764533885853,0.29760764533885853,0.0,1.0266446900346216,955.5288948628041,0.9361826569208209,1578037094,1578070778,15.15,-1.841,24.269983,7.674196586199431,6.174447611220902,0.0,4.273691683915222,5,0,1,0,1,0
2020-01-04,7.6947268699340405,6.5253132105064,11.145724686271166,3.126518123222706,3.779528645965393,13.375087320767129,28.558504481557023,7.511186540498666,0.08028802713489493,0.08028802713489493,0.0,0.4711912441303394,956.7073190850052,0.9400795549338726,1578123497,1578157232,14.483,-1.45,27.026386,8.01920656304846,6.254866782529615,0.2704464279767844,3.7476415751998524,6,1,1,0,1,0
2020-01-05,3.050183400413815,6.535853385037646,12.627845090592569,2.3178122903426597,3.727290078436652,11.201826966012508,23.020813026354173,9.135439038561875,0.010137315145891652,0.010137315145891652,0.0,0.08674643077360922,953.1000047486916,1.183950452704865,1578209897,1578243688,15.65,-2.4,28.673721,10.310032800249909,6.251457525972953,0.2843958590646931,3.866586773134154,7,1,1,0,1,0
2020-01-06,3.4879383464075704,6.0957412648290035,11.762174654415645,1.8254528682847027,3.3285812192713724,10.349302176559908,20.58744435755308,9.012063866622398,0.011004521810621497,0.011004521810621497,0.0,0.061767774984584675,952.5450865958948,1.1884183248802156,1578296296,1578330145,14.632999,-3.5,26.052162,9.936721786130942,6.411871402254982,-0.3161301374259784,4.105454184285609,1,0,1,0,1,1
2020-01-07,3.2523617295344085,6.360175372753607,12.698951641805925,1.8916529813712457,3.531835197910412,10.392560514705174,20.379827870803293,9.28565238185584,0.0016071400338345243,0.0016071400338345243,0.0,0.00803570016917262,954.1864219400306,1.2636338591098277,1578382692,1578416603,16.133,-3.45,26.554728,10.807298660434679,6.385635953457683,-0.02546058070407664,4.222826959108655,2,0,1,0,1,0
2020-01-08,6.741488291360881,7.609489910762626,13.269664964714735,3.08587028419084,4.930489173089334,11.062905317241578,21.503215172700358,8.814629697702731,0.015974561750976227,0.015974561750976227,0.0,0.14197852930481059,952.9796233738873,1.2484578197292053,1578469086,1578503061,16.683,-2.7,23.42491,10.183794680523896,6.330590007540085,1.2788999032225412,3.733248374512907,3,0,1,0,1,0
2020-01-09,15.472633602585462,7.358435961653008,12.335569287613993,3.4463916287271936,4.749666321835709,14.404712806885088,31.115478349983785,8.075289629085045,0.47932436827281766,0.47932436827281766,0.0,1.762421144998337,950.6865355239806,1.0721173010518348,1578555478,1578589521,15.9,-1.55,28.79325,8.8891776588868,6.688468849448412,0.6699671122045956,3.409876410478517,4,0,1,0,1,0
2020-01-10,29.857639213506634,7.271152052404486,11.04545718425984,3.569131620280222,4.136620685753088,18.72895463912078,40.22893031661766,7.375690267830324,0.6941139652144683,0.6765524212760265,0.012293080317870655,2.590675346645793,951.958605347041,1.1372915470190639,1578641867,1578675982,14.184,-1.55,36.573235,7.476325563979618,7.10936708172308,0.1617849706814063,3.733549447920479,5,0,1,0,1,0
