strategy_name,n_days,total_volume_mwh,total_cost,average_unit_cost,daily_cost_volatility,coefficient_of_variation,max_daily_cost,min_daily_cost,p95_daily_cost,p99_daily_cost,extreme_cost_threshold,n_extreme_cost_days,share_extreme_cost_days,delta_total_cost_vs_spot_only,relative_delta_total_cost_vs_spot_only,delta_daily_cost_volatility_vs_spot_only,relative_delta_daily_cost_volatility_vs_spot_only,delta_max_daily_cost_vs_spot_only,relative_delta_max_daily_cost_vs_spot_only,delta_p95_daily_cost_vs_spot_only,relative_delta_p95_daily_cost_vs_spot_only,delta_p99_daily_cost_vs_spot_only,relative_delta_p99_daily_cost_vs_spot_only,delta_n_extreme_cost_days_vs_spot_only,relative_delta_n_extreme_cost_days_vs_spot_only,delta_share_extreme_cost_days_vs_spot_only,relative_delta_share_extreme_cost_days_vs_spot_only,avoided_extreme_cost_days_vs_spot_only
heuristic_policy,365,372300.0,23084527.799999997,62.005178082191776,19101.93080716077,308.0699289636739,103275.0,11158.8,90627.0,98672.76000000001,84660.0,39,0.10684931506849316,-1220175.0000000037,-0.0502032470851692,-16271.04488946238,-0.4599851883825449,-44543.399999999994,-0.30133866961081973,-36909.72,-0.2894046514603794,-44706.600000000006,-0.3118063855215981,2,0.05405405405405406,0.005479452054794526,0.054054054054054106,-2
static_hedge,365,372300.0,23640475.740000002,63.49845753424658,20668.402871115657,325.494565910811,110462.94,21589.32,96821.46,106639.8984,86059.84800000001,37,0.10136986301369863,-664227.0599999987,-0.027329157878038263,-14704.572825507494,-0.415700758444002,-37355.45999999999,-0.2527118410157328,-30715.259999999995,-0.24083463962378832,-36739.46160000001,-0.2562395424278641,0,0.0,0.0,0.0,0
spot_only,365,372300.0,24304702.8,65.28257534246576,35372.97569662315,541.844060395291,147818.4,1754.3999999999999,127536.72,143379.36000000002,111963.36,37,0.10136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
rl_policy,365,372300.0,25116530.6,67.46314961052914,24134.34424863909,357.74114294943,188800.0,10852.800000000001,105850.00000000001,147820.40000000005,96391.52,37,0.10136986301369863,811827.8000000007,0.03340208710554571,-11238.631447984062,-0.317718010052995,40981.600000000006,0.2772428872183707,-21686.719999999987,-0.17004294919925797,4441.040000000037,0.030974053727119696,0,0.0,0.0,0.0,0
