strategy_name,n_days,total_volume_mwh,total_cost,average_unit_cost,daily_cost_volatility,coefficient_of_variation,max_daily_cost,min_daily_cost,p95_daily_cost,p99_daily_cost,extreme_cost_threshold,n_extreme_cost_days,share_extreme_cost_days
heuristic_policy,365,372300.0,23084527.799999997,62.005178082191776,19101.93080716077,308.0699289636739,103275.0,11158.8,90627.0,98672.76000000001,84660.0,39,0.10684931506849316
static_hedge,365,372300.0,23640475.740000002,63.49845753424658,20668.402871115657,325.494565910811,110462.94,21589.32,96821.46,106639.8984,86059.84800000001,37,0.10136986301369863
spot_only,365,372300.0,24304702.8,65.28257534246576,35372.97569662315,541.844060395291,147818.4,1754.3999999999999,127536.72,143379.36000000002,111963.36,37,0.10136986301369863
rl_policy,365,380700.0,24505617.0,64.36988967691096,28807.411887156693,447.5293034017692,197271.2,7876.799999999999,110938.8,170434.30400000006,96595.48000000001,37,0.10136986301369863
