strategy_name,n_days,total_volume_mwh,total_cost,average_unit_cost,daily_cost_volatility,max_daily_cost,min_daily_cost,n_buy_on_spot_days,n_static_m1_hedge_days,n_buy_m1_future_days,n_do_nothing_days,n_P=1000|M1=500|M2=0|M3=0_days,n_P=1000|M1=500|M2=0|M3=500_days,n_P=1000|M1=500|M2=500|M3=0_days,n_P=100|M1=0|M2=500|M3=0_days,n_P=1100|M1=0|M2=500|M3=500_days,n_P=1200|M1=0|M2=0|M3=0_days,n_P=1200|M1=500|M2=500|M3=500_days,n_P=1300|M1=0|M2=500|M3=0_days,n_P=1600|M1=0|M2=0|M3=0_days,n_P=1600|M1=0|M2=500|M3=0_days,n_P=1600|M1=0|M2=500|M3=500_days,n_P=1900|M1=0|M2=0|M3=500_days,n_P=2000|M1=0|M2=0|M3=0_days,n_P=2000|M1=0|M2=0|M3=500_days,n_P=2000|M1=500|M2=0|M3=0_days,n_P=2000|M1=500|M2=500|M3=0_days,n_P=300|M1=0|M2=0|M3=0_days,n_P=600|M1=0|M2=500|M3=500_days,n_P=600|M1=500|M2=0|M3=0_days,n_P=700|M1=0|M2=0|M3=0_days,n_P=700|M1=500|M2=500|M3=0_days,n_P=800|M1=0|M2=0|M3=0_days,n_P=800|M1=0|M2=0|M3=500_days,n_P=800|M1=500|M2=500|M3=500_days
heuristic_policy,365,372300.0,23084527.799999997,62.005178082191776,19101.93080716077,103275.0,11158.8,,,346.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
static_hedge,365,372300.0,23640475.740000002,63.49845753424658,20668.402871115657,110462.94,21589.32,,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,
spot_only,365,372300.0,24304702.8,65.28257534246576,35372.97569662315,147818.4,1754.3999999999999,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_policy,365,380700.0,24505617.0,64.36988967691096,28807.411887156693,197271.2,7876.799999999999,,,,,333.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
