model_name,quantile,pinball_loss,mae,rmse
gbr_quantile_0.5,0.5,7.977631867388242,15.955263734776484,20.19418591300166
gbr_quantile_0.9,0.9,4.857351475176225,22.79029395989852,28.525882649087443
gbr_quantile_0.95,0.95,3.84022018351288,26.2628217896312,32.75578837932068
