lower_quantile_column,upper_quantile_column,empirical_coverage,average_interval_width,n_obs
q_0.5,q_0.9,0.2195845697329377,16.815516877602498,337.0
q_0.9,q_0.95,0.05341246290801187,4.770687211421302,337.0
